state,qdate,quarter_str,ave_intrate,pct_lt3,pct_3_4,pct_4_5,pct_5_6,pct_ge6,tot_loans,share_locked_in,mortgage_rate_30yr,rate_gap,permits,hpi,hpi_yoy,unemp_rate,zhvi,zhvi_yoy,new_listing_count,active_listing_count,median_days_on_market,median_listing_price,net_migration_lag1,covid_dummy,ln_permits,ln_new_listings,post_2022
AK,2022-04-01,2022Q2,3.7,26.9,39.9,21.6,7.0,4.6,113.0,88.4,5.244833333333333,1.544833333333333,368.3241558527324,415.23,14.96802059971758,4.233333333333333,349832.7119799231,8.484160688032794,3794.0,912.0,23.333333333333332,405014.6666666667,-4.147200401,0,5.911674729556193,8.24143968982973,1
AK,2022-07-01,2022Q3,3.7,26.5,39.2,21.5,8.3,4.7,113.0,87.2,5.582333333333334,1.8823333333333334,341.483242084513,418.49,10.94644750795335,3.9,355468.39533219085,7.012099188205245,3074.0,1813.0,43.0,399316.6666666667,-4.147200401,0,5.836222728284856,8.031060180240619,1
AK,2022-10-01,2022Q4,3.8,26.2,38.5,21.1,8.6,5.5,112.0,85.80000000000001,6.689666666666667,2.889666666666667,257.2305989980164,414.53,8.572551073860657,4.0,353902.8528533913,4.3745457482286865,1370.0,1484.0,72.33333333333333,399200.0,-4.147200401,0,5.553852980291058,7.223295679562314,1
AK,2023-01-01,2023Q1,3.8,26.0,38.1,21.0,8.9,6.1,111.0,85.1,6.358,2.558,374.89870057111,425.08,8.549540347293139,4.0,351718.29114733107,2.517300444385251,1792.0,1008.0,75.0,397741.6666666667,-8.049043452,0,5.929319693716884,7.491645473605133,1
AK,2023-04-01,2023Q2,3.8,25.6,37.2,20.6,9.3,7.3,112.0,83.4,6.493833333333334,2.693833333333334,154.6739715149267,434.59,4.662476217999645,4.1000000000000005,352429.05137810064,0.7421659865606278,2792.0,1005.0,37.0,414075.0,-8.049043452,0,5.047763894119873,7.934871565945177,1
AK,2023-07-01,2023Q3,3.9,25.3,36.5,20.2,9.4,8.7,111.0,82.0,7.037333333333334,3.1373333333333338,204.74478833079928,451.8999999999999,7.983464359960779,4.366666666666667,356162.8911640821,0.1953748465435945,2696.0,1523.0,45.666666666666664,399700.0,-8.049043452,0,5.326636509130895,7.89989532313973,1
AK,2023-10-01,2023Q4,3.9,25.0,35.8,19.9,9.4,10.0,111.0,80.69999999999999,7.2923333333333344,3.3923333333333345,167.3283569880893,435.1499999999999,4.974308252719939,4.5,355393.4794257612,0.4211965403362772,1332.0,1559.0,74.33333333333333,391150.0,-8.049043452,0,5.125916577723278,7.195187320178709,1
AK,2024-01-01,2024Q1,4.0,24.8,35.3,19.8,9.4,10.7,110.0,79.89999999999999,6.746166666666667,2.7461666666666673,135.5048553920277,445.32,4.761456666980335,4.4,355843.30524539965,1.1728176219133912,1676.0,1159.0,80.66666666666667,396133.3333333333,-6.692033647,0,4.91636018462996,7.424761761823209,1
AK,2024-04-01,2024Q2,4.0,24.3,34.7,19.5,9.5,12.0,111.0,78.5,6.989999999999999,2.9899999999999993,270.7370293516705,458.53,5.50864032766516,4.533333333333333,359056.44090957986,1.8804889964559424,2944.0,1177.0,44.666666666666664,428166.6666666667,-6.692033647,0,5.604834794785553,7.987864096085687,1
AK,2024-07-01,2024Q3,4.1,24.0,34.0,19.0,9.6,13.5,111.0,77.0,6.509166666666666,2.4091666666666667,169.7770619257055,463.51,2.5691524673600474,4.733333333333333,360138.6240157052,1.116268131873266,2742.0,1893.0,54.333333333333336,426650.0,-6.692033647,0,5.140358974476838,7.916807490937603,1
AK,2024-10-01,2024Q4,4.1,23.5,33.2,18.8,10.3,14.2,111.0,75.5,6.649333333333334,2.549333333333334,291.17396366629714,459.6000000000001,5.618752154429552,4.7,363049.4897821906,2.1542348972749314,1350.0,1844.0,80.66666666666667,420000.0,-6.692033647,0,5.6773493908506545,7.208600337960199,1
AK,2025-01-01,2025Q1,4.1,23.2,32.6,18.5,10.2,15.5,111.0,74.3,6.816833333333332,2.7168333333333328,221.5574408062159,460.33,3.3706098984999544,4.7,366225.97895066225,2.91776564353301,1854.0,1262.0,81.0,423650.0,-5.686549197,0,5.40518522921531,7.5256399750415355,1
AK,2025-04-01,2025Q2,4.2,22.8,31.7,18.1,10.2,17.2,111.0,72.6,6.7861666666666665,2.5861666666666663,225.7376320485772,483.05,5.3475236080518185,4.7,366924.7834625142,2.191394348198261,2984.0,1342.0,47.666666666666664,443000.0,-5.686549197,0,5.423793543069175,8.001355025826703,1
AK,2025-07-01,2025Q3,4.2,22.2,31.3,17.9,10.2,18.4,111.0,71.4,6.553333333333334,2.3533333333333335,225.6381001954299,476.41,2.783111475480582,4.733333333333333,369742.56875322544,2.6667355560011874,2660.0,1970.0,55.666666666666664,445150.0,-5.686549197,0,5.423354473010204,7.886457270977689,1
AL,2022-04-01,2022Q2,4.1,20.4,39.0,22.3,8.3,10.0,703.0,81.7,5.244833333333333,1.1448333333333336,5375.38932336482,455.67,19.41350664325587,2.5,218404.36278663392,14.483313857576196,25204.0,6952.0,30.333333333333332,311568.0,5.1165226291,0,8.589772298361531,10.13479766651673,1
AL,2022-07-01,2022Q3,4.1,19.9,37.8,22.3,9.8,10.3,706.0,80.0,5.582333333333334,1.482333333333334,5856.58298732164,468.62999999999994,16.21326720396774,2.5,222886.72580875203,12.209865208211834,22296.0,11163.0,43.333333333333336,322635.6666666667,5.1165226291,0,8.675492337984815,10.012207419250371,1
AL,2022-10-01,2022Q4,4.2,19.5,37.0,21.8,10.2,11.5,707.0,78.3,6.689666666666667,2.4896666666666665,4327.8081885281,468.10999999999996,11.579624818248991,2.4,222218.45353635852,9.0127718398465,15398.0,12433.0,58.333333333333336,313166.6666666667,5.1165226291,0,8.373047537966013,9.642057851228413,1
AL,2023-01-01,2023Q1,4.2,19.1,36.2,21.4,10.7,12.6,708.0,76.7,6.358,2.1579999999999995,4930.60424816106,473.89000000000004,9.762820215870672,2.3,221237.65398123526,4.996516261462647,17354.0,11630.0,66.0,318983.3333333333,5.4741191947,0,8.503419619410415,9.761635928295886,1
AL,2023-04-01,2023Q2,4.3,18.6,35.2,20.9,11.1,14.2,712.0,74.7,6.493833333333334,2.193833333333334,5540.95229382461,482.25,5.833168740535921,2.3,223987.5810547671,2.5563675546113496,19646.0,10987.0,50.0,335312.0,5.4741191947,0,8.620102117270502,9.885679933886163,1
AL,2023-07-01,2023Q3,4.3,18.3,34.3,20.4,11.1,15.9,715.0,73.0,7.037333333333334,2.737333333333334,4481.563672707,491.35999999999996,4.850308345603138,2.5,226106.23531220807,1.4444599568565364,19540.0,12259.0,50.666666666666664,333445.0,5.4741191947,0,8.407950410109466,9.880270101359944,1
AL,2023-10-01,2023Q4,4.4,18.0,33.7,20.0,10.9,17.4,716.0,71.7,7.2923333333333344,2.892333333333334,4797.77022524155,489.82,4.637798807972504,2.766666666666667,225806.22180401583,1.614523101282539,15876.0,14579.0,60.0,324750.0,5.4741191947,0,8.476114960995691,9.672626800077511,1
AL,2024-01-01,2024Q1,4.4,17.7,33.0,19.9,11.0,18.5,717.0,70.6,6.746166666666667,2.346166666666667,5072.82280302742,497.60999999999996,5.00538099558967,2.9,225692.44607454308,2.013577712989889,18780.0,13969.0,68.0,323986.0,5.8410639706,0,8.53184981700851,9.840600999480937,1
AL,2024-04-01,2024Q2,4.5,17.3,32.2,19.4,10.9,20.3,721.0,68.9,6.989999999999999,2.4899999999999993,5382.46300913147,508.77,5.499222395023318,2.9,228553.8071800725,2.0386068298085203,22222.0,15072.0,53.333333333333336,336212.6666666667,5.8410639706,0,8.591087128076127,10.008883067581468,1
AL,2024-07-01,2024Q3,4.5,16.9,31.3,19.0,11.2,21.6,725.0,67.2,6.509166666666666,2.0091666666666663,4664.26303746255,515.29,4.8701563008791915,3.1333333333333333,229281.00875138212,1.4041069830694086,20788.0,17376.0,59.666666666666664,331300.0,5.8410639706,0,8.447899497000009,9.942179279647114,1
AL,2024-10-01,2024Q4,4.5,16.6,30.6,18.7,11.6,22.5,727.0,65.9,6.649333333333334,2.1493333333333338,5757.79022455819,520.84,6.332938630517337,3.2999999999999994,229630.5122133651,1.6936160477758921,16882.0,19329.0,70.0,323900.0,5.8410639706,0,8.658482701171804,9.734062477477194,1
AL,2025-01-01,2025Q1,4.6,16.3,29.9,18.4,11.6,23.7,727.0,64.6,6.816833333333332,2.2168333333333328,4437.38110446147,520.26,4.55175740037379,3.2999999999999994,231070.209474383,2.3827839581585852,20148.0,17735.0,74.66666666666667,321723.3333333333,4.8542419174,0,8.398044972825373,9.910909938351766,1
AL,2025-04-01,2025Q2,4.6,16.0,29.2,17.9,11.8,25.1,729.0,63.1,6.7861666666666665,2.186166666666667,4251.06560953038,531.19,4.406706370265567,3.266666666666667,230534.93230292408,0.8668090666679173,22964.0,19144.0,59.333333333333336,338666.6666666667,4.8542419174,0,8.355160169618047,10.041726596759894,1
AL,2025-07-01,2025Q3,4.6,15.8,28.8,17.7,11.7,26.0,724.0,62.3,6.553333333333334,1.953333333333334,4945.83665572305,530.97,3.0429466902132996,2.9,229927.3048059567,0.2818794535553337,20682.0,20698.0,67.0,334866.6666666667,4.8542419174,0,8.506503591827318,9.937067385799324,1
AR,2022-04-01,2022Q2,4.0,20.5,38.6,23.1,8.5,9.2,403.0,82.2,5.244833333333333,1.2448333333333332,4423.5350409576295,396.75,20.300181928441475,3.2000000000000006,200281.28693152787,13.94721160979544,13296.0,4055.0,37.333333333333336,258711.66666666666,5.3688422428,0,8.394920476431412,9.495293724856706,1
AR,2022-07-01,2022Q3,4.1,20.1,37.5,22.9,10.1,9.4,403.0,80.5,5.582333333333334,1.482333333333334,3469.901581125229,409.60999999999996,17.48121378993861,3.2000000000000006,203094.96912833792,10.971182840221605,12224.0,6530.0,45.333333333333336,275000.0,5.3688422428,0,8.152169660843027,9.411238314343073,1
AR,2022-10-01,2022Q4,4.1,19.8,36.6,22.5,10.5,10.6,403.0,78.9,6.689666666666667,2.589666666666667,2414.336769834304,409.31,12.586989409984861,3.1,202589.73403057278,7.679982130414742,9402.0,7427.0,57.666666666666664,279983.3333333333,5.3688422428,0,7.789594005571288,9.148784066277077,1
AR,2023-01-01,2023Q1,4.2,19.4,36.0,22.1,10.7,11.8,403.0,77.5,6.358,2.1579999999999995,3037.02557027269,415.19,11.11140846201193,2.9,201640.91334575726,3.6362205617760823,9756.0,7010.0,70.66666666666667,283191.6666666667,6.1183072475,0,8.018963099931584,9.18574025510795,1
AR,2023-04-01,2023Q2,4.2,19.0,35.0,21.6,10.9,13.6,404.0,75.6,6.493833333333334,2.2938333333333336,3101.0003188073515,426.52,7.503465658475106,2.9333333333333336,204668.07019793265,2.1903111037550715,11514.0,6720.0,53.0,292525.0,6.1183072475,0,8.039802446511255,9.351405812254786,1
AR,2023-07-01,2023Q3,4.3,18.6,34.1,21.0,10.8,15.6,406.0,73.7,7.037333333333334,2.737333333333334,3110.612749199047,432.62999999999994,5.61997998095749,3.266666666666667,206867.0531112363,1.8573005520952979,11390.0,7512.0,52.666666666666664,299600.0,6.1183072475,0,8.042896439637198,9.340578848899913,1
AR,2023-10-01,2023Q4,4.3,18.2,33.3,20.6,10.6,17.2,408.0,72.1,7.2923333333333344,2.9923333333333346,3549.5828982429803,435.73,6.454765336786306,3.466666666666667,207082.60316753908,2.2177180687192655,9594.0,8940.0,60.666666666666664,296966.6666666667,6.1183072475,0,8.174867065678825,9.1689974084418,1
AR,2024-01-01,2024Q1,4.4,17.9,32.8,20.4,10.5,18.4,408.0,71.1,6.746166666666667,2.346166666666667,3345.9825878399424,437.31,5.32768130253618,3.4,207797.59362420844,3.053289224044642,10582.0,8530.0,68.66666666666667,294612.6666666667,5.827748748,0,8.115814498879283,9.267004219093725,1
AR,2024-04-01,2024Q2,4.4,17.5,32.0,19.9,10.4,20.2,409.0,69.4,6.989999999999999,2.589999999999999,3210.64457828372,447.57,4.935290256025504,3.4,211349.0219353591,3.26428628117974,13156.0,8766.0,55.0,299616.6666666667,5.827748748,0,8.07453841461142,9.484709215365838,1
AR,2024-07-01,2024Q3,4.5,17.1,31.2,19.3,10.4,22.0,411.0,67.6,6.509166666666666,2.0091666666666663,3643.02806398004,456.84,5.59600582483879,3.466666666666667,213098.16203214604,3.0121321047480443,12680.0,10029.0,58.0,298763.0,5.827748748,0,8.200844959771718,9.447860089234899,1
AR,2024-10-01,2024Q4,4.5,16.8,30.4,18.9,10.9,23.0,410.0,66.1,6.649333333333334,2.1493333333333338,3587.2857388496604,457.8999999999999,5.088013219195342,3.6,213657.0634210507,3.174800853837345,10056.0,11043.0,68.0,294483.3333333333,5.827748748,0,8.185429857368353,9.21602418844448,1
