date,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2000-01-01,207.47,170.99,198.95,177.14,260.84,259.43,261.2,259.46,234.88,200.86,229.9,229.97,213.61,241.52,206.37,187.65,178.5,217.18,160.28,272.54,237.79,401.28,252.74,224.84,180.63,207.63,199.41,198.57,192.75,250.55,278.77,199.04,334.19,233.38,159.13,215.88,144.22,247.96,235.32,276.78,231.0,196.41,212.93,159.01,236.4,250.6,229.05,269.42,148.54,227.77,151.07
2000-02-01,207.47,170.99,198.95,177.14,260.84,259.43,261.2,259.46,234.88,200.86,229.9,229.97,213.61,241.52,206.37,187.65,178.5,217.18,160.28,272.54,237.79,401.28,252.74,224.84,180.63,207.63,199.41,198.57,192.75,250.55,278.77,199.04,334.19,233.38,159.13,215.88,144.22,247.96,235.32,276.78,231.0,196.41,212.93,159.01,236.4,250.6,229.05,269.42,148.54,227.77,151.07
2000-03-01,207.47,170.99,198.95,177.14,260.84,259.43,261.2,259.46,234.88,200.86,229.9,229.97,213.61,241.52,206.37,187.65,178.5,217.18,160.28,272.54,237.79,401.28,252.74,224.84,180.63,207.63,199.41,198.57,192.75,250.55,278.77,199.04,334.19,233.38,159.13,215.88,144.22,247.96,235.32,276.78,231.0,196.41,212.93,159.01,236.4,250.6,229.05,269.42,148.54,227.77,151.07
2000-04-01,209.23,173.04,201.18,178.85,267.86,265.87,268.3,264.04,243.66,204.52,233.66,229.89,213.55,245.65,208.13,190.16,179.98,219.08,160.89,280.07,240.4,414.32,256.3,231.43,181.96,210.19,201.05,201.36,195.18,259.09,285.47,199.67,344.21,236.31,160.48,218.47,145.86,249.57,238.76,285.57,233.87,200.07,214.19,161.65,236.45,253.93,233.78,272.11,149.73,228.98,152.79
2000-05-01,209.23,173.04,201.18,178.85,267.86,265.87,268.3,264.04,243.66,204.52,233.66,229.89,213.55,245.65,208.13,190.16,179.98,219.08,160.89,280.07,240.4,414.32,256.3,231.43,181.96,210.19,201.05,201.36,195.18,259.09,285.47,199.67,344.21,236.31,160.48,218.47,145.86,249.57,238.76,285.57,233.87,200.07,214.19,161.65,236.45,253.93,233.78,272.11,149.73,228.98,152.79
2000-06-01,209.23,173.04,201.18,178.85,267.86,265.87,268.3,264.04,243.66,204.52,233.66,229.89,213.55,245.65,208.13,190.16,179.98,219.08,160.89,280.07,240.4,414.32,256.3,231.43,181.96,210.19,201.05,201.36,195.18,259.09,285.47,199.67,344.21,236.31,160.48,218.47,145.86,249.57,238.76,285.57,233.87,200.07,214.19,161.65,236.45,253.93,233.78,272.11,149.73,228.98,152.79
2000-07-01,210.9,174.39,203.84,179.95,276.85,272.78,274.09,269.02,251.32,208.82,237.42,232.81,215.44,249.75,210.93,192.62,182.46,220.96,162.8,286.27,244.8,429.44,260.85,237.2,184.63,213.58,204.01,203.23,197.06,268.73,293.82,200.96,354.21,239.32,162.1,221.15,148.28,251.93,241.31,294.61,236.6,203.47,216.28,164.09,238.9,259.62,237.93,275.8,151.03,232.3,154.3
2000-08-01,210.9,174.39,203.84,179.95,276.85,272.78,274.09,269.02,251.32,208.82,237.42,232.81,215.44,249.75,210.93,192.62,182.46,220.96,162.8,286.27,244.8,429.44,260.85,237.2,184.63,213.58,204.01,203.23,197.06,268.73,293.82,200.96,354.21,239.32,162.1,221.15,148.28,251.93,241.31,294.61,236.6,203.47,216.28,164.09,238.9,259.62,237.93,275.8,151.03,232.3,154.3
2000-09-01,210.9,174.39,203.84,179.95,276.85,272.78,274.09,269.02,251.32,208.82,237.42,232.81,215.44,249.75,210.93,192.62,182.46,220.96,162.8,286.27,244.8,429.44,260.85,237.2,184.63,213.58,204.01,203.23,197.06,268.73,293.82,200.96,354.21,239.32,162.1,221.15,148.28,251.93,241.31,294.61,236.6,203.47,216.28,164.09,238.9,259.62,237.93,275.8,151.03,232.3,154.3
2000-10-01,213.59,174.93,206.95,182.31,285.4,278.92,277.81,272.45,255.76,213.18,241.28,238.34,217.64,252.57,212.91,194.1,184.32,223.73,164.19,292.22,248.7,439.85,264.58,241.76,186.03,216.18,206.77,204.77,199.87,276.11,298.26,202.0,359.61,241.9,163.54,224.0,149.29,254.74,244.14,300.09,239.95,203.64,218.21,165.98,242.18,264.2,241.95,279.31,152.06,235.16,157.66
2000-11-01,213.59,174.93,206.95,182.31,285.4,278.92,277.81,272.45,255.76,213.18,241.28,238.34,217.64,252.57,212.91,194.1,184.32,223.73,164.19,292.22,248.7,439.85,264.58,241.76,186.03,216.18,206.77,204.77,199.87,276.11,298.26,202.0,359.61,241.9,163.54,224.0,149.29,254.74,244.14,300.09,239.95,203.64,218.21,165.98,242.18,264.2,241.95,279.31,152.06,235.16,157.66
2000-12-01,213.59,174.93,206.95,182.31,285.4,278.92,277.81,272.45,255.76,213.18,241.28,238.34,217.64,252.57,212.91,194.1,184.32,223.73,164.19,292.22,248.7,439.85,264.58,241.76,186.03,216.18,206.77,204.77,199.87,276.11,298.26,202.0,359.61,241.9,163.54,224.0,149.29,254.74,244.14,300.09,239.95,203.64,218.21,165.98,242.18,264.2,241.95,279.31,152.06,235.16,157.66
2001-01-01,219.82,177.69,211.59,186.81,296.44,286.72,284.72,278.31,266.77,219.33,248.08,246.07,223.26,255.88,217.38,198.19,187.91,228.11,168.47,300.52,254.38,451.61,268.74,248.2,190.82,219.84,210.86,207.4,204.38,282.36,305.07,206.91,367.74,247.21,167.52,228.26,152.72,261.62,250.52,306.07,246.14,208.08,223.69,170.7,247.74,268.87,248.05,286.09,156.68,238.71,158.8
2001-02-01,219.82,177.69,211.59,186.81,296.44,286.72,284.72,278.31,266.77,219.33,248.08,246.07,223.26,255.88,217.38,198.19,187.91,228.11,168.47,300.52,254.38,451.61,268.74,248.2,190.82,219.84,210.86,207.4,204.38,282.36,305.07,206.91,367.74,247.21,167.52,228.26,152.72,261.62,250.52,306.07,246.14,208.08,223.69,170.7,247.74,268.87,248.05,286.09,156.68,238.71,158.8
2001-03-01,219.82,177.69,211.59,186.81,296.44,286.72,284.72,278.31,266.77,219.33,248.08,246.07,223.26,255.88,217.38,198.19,187.91,228.11,168.47,300.52,254.38,451.61,268.74,248.2,190.82,219.84,210.86,207.4,204.38,282.36,305.07,206.91,367.74,247.21,167.52,228.26,152.72,261.62,250.52,306.07,246.14,208.08,223.69,170.7,247.74,268.87,248.05,286.09,156.68,238.71,158.8
2001-04-01,220.79,181.4,214.84,187.97,305.5,292.52,290.79,283.24,279.01,224.85,251.07,249.86,225.72,260.31,219.14,200.34,190.23,230.15,170.16,306.15,259.35,465.36,272.23,254.86,191.93,223.15,213.39,209.67,206.97,292.03,313.73,208.45,375.95,249.37,168.83,230.61,154.26,264.06,254.5,316.6,248.97,211.11,224.84,172.93,248.19,274.05,253.8,289.97,158.13,241.92,161.76
2001-05-01,220.79,181.4,214.84,187.97,305.5,292.52,290.79,283.24,279.01,224.85,251.07,249.86,225.72,260.31,219.14,200.34,190.23,230.15,170.16,306.15,259.35,465.36,272.23,254.86,191.93,223.15,213.39,209.67,206.97,292.03,313.73,208.45,375.95,249.37,168.83,230.61,154.26,264.06,254.5,316.6,248.97,211.11,224.84,172.93,248.19,274.05,253.8,289.97,158.13,241.92,161.76
2001-06-01,220.79,181.4,214.84,187.97,305.5,292.52,290.79,283.24,279.01,224.85,251.07,249.86,225.72,260.31,219.14,200.34,190.23,230.15,170.16,306.15,259.35,465.36,272.23,254.86,191.93,223.15,213.39,209.67,206.97,292.03,313.73,208.45,375.95,249.37,168.83,230.61,154.26,264.06,254.5,316.6,248.97,211.11,224.84,172.93,248.19,274.05,253.8,289.97,158.13,241.92,161.76
2001-07-01,222.33,183.86,217.95,189.93,311.92,297.97,297.98,288.83,290.56,229.99,254.33,253.98,226.99,265.14,220.64,201.67,192.35,232.07,171.75,315.46,266.2,480.87,275.83,262.56,193.86,226.42,215.44,211.47,210.82,302.21,322.77,209.73,386.23,251.39,170.07,232.77,155.82,266.44,257.84,328.78,250.76,212.83,226.23,174.22,248.47,280.59,259.45,292.92,158.81,245.13,164.25
2001-08-01,222.33,183.86,217.95,189.93,311.92,297.97,297.98,288.83,290.56,229.99,254.33,253.98,226.99,265.14,220.64,201.67,192.35,232.07,171.75,315.46,266.2,480.87,275.83,262.56,193.86,226.42,215.44,211.47,210.82,302.21,322.77,209.73,386.23,251.39,170.07,232.77,155.82,266.44,257.84,328.78,250.76,212.83,226.23,174.22,248.47,280.59,259.45,292.92,158.81,245.13,164.25
2001-09-01,222.33,183.86,217.95,189.93,311.92,297.97,297.98,288.83,290.56,229.99,254.33,253.98,226.99,265.14,220.64,201.67,192.35,232.07,171.75,315.46,266.2,480.87,275.83,262.56,193.86,226.42,215.44,211.47,210.82,302.21,322.77,209.73,386.23,251.39,170.07,232.77,155.82,266.44,257.84,328.78,250.76,212.83,226.23,174.22,248.47,280.59,259.45,292.92,158.81,245.13,164.25
2001-10-01,224.82,184.39,220.05,191.88,316.3,300.33,303.17,292.7,299.23,235.55,257.62,257.97,229.69,267.61,222.67,204.19,194.04,233.89,173.37,320.32,270.52,490.68,278.1,266.07,195.46,228.66,216.91,213.19,213.48,307.65,329.19,211.22,393.03,253.67,171.54,234.69,157.58,268.74,261.16,335.72,253.75,213.9,228.93,176.17,250.98,284.06,263.05,294.87,160.42,246.94,166.21
2001-11-01,224.82,184.39,220.05,191.88,316.3,300.33,303.17,292.7,299.23,235.55,257.62,257.97,229.69,267.61,222.67,204.19,194.04,233.89,173.37,320.32,270.52,490.68,278.1,266.07,195.46,228.66,216.91,213.19,213.48,307.65,329.19,211.22,393.03,253.67,171.54,234.69,157.58,268.74,261.16,335.72,253.75,213.9,228.93,176.17,250.98,284.06,263.05,294.87,160.42,246.94,166.21
2001-12-01,224.82,184.39,220.05,191.88,316.3,300.33,303.17,292.7,299.23,235.55,257.62,257.97,229.69,267.61,222.67,204.19,194.04,233.89,173.37,320.32,270.52,490.68,278.1,266.07,195.46,228.66,216.91,213.19,213.48,307.65,329.19,211.22,393.03,253.67,171.54,234.69,157.58,268.74,261.16,335.72,253.75,213.9,228.93,176.17,250.98,284.06,263.05,294.87,160.42,246.94,166.21
2002-01-01,225.24,187.28,223.04,192.53,324.75,303.85,309.59,297.8,308.87,240.22,259.79,261.9,230.18,272.22,224.28,205.97,196.61,235.75,174.3,327.48,277.25,504.93,281.53,271.62,196.09,232.36,221.66,214.82,216.58,316.06,338.69,212.38,402.63,255.22,173.36,236.66,158.42,272.11,265.14,348.58,255.17,216.85,229.91,176.68,250.56,289.9,268.2,298.49,161.37,251.01,169.44
2002-02-01,225.24,187.28,223.04,192.53,324.75,303.85,309.59,297.8,308.87,240.22,259.79,261.9,230.18,272.22,224.28,205.97,196.61,235.75,174.3,327.48,277.25,504.93,281.53,271.62,196.09,232.36,221.66,214.82,216.58,316.06,338.69,212.38,402.63,255.22,173.36,236.66,158.42,272.11,265.14,348.58,255.17,216.85,229.91,176.68,250.56,289.9,268.2,298.49,161.37,251.01,169.44
2002-03-01,225.24,187.28,223.04,192.53,324.75,303.85,309.59,297.8,308.87,240.22,259.79,261.9,230.18,272.22,224.28,205.97,196.61,235.75,174.3,327.48,277.25,504.93,281.53,271.62,196.09,232.36,221.66,214.82,216.58,316.06,338.69,212.38,402.63,255.22,173.36,236.66,158.42,272.11,265.14,348.58,255.17,216.85,229.91,176.68,250.56,289.9,268.2,298.49,161.37,251.01,169.44
2002-04-01,226.32,192.43,226.01,193.37,335.77,307.19,318.47,305.47,319.94,247.56,261.78,267.67,231.17,277.07,224.98,206.98,198.52,237.35,175.7,337.54,286.36,523.52,284.65,278.9,195.48,235.41,223.67,216.22,220.09,327.19,351.33,215.35,415.35,256.34,174.99,238.29,160.0,274.09,269.85,365.82,256.64,219.75,230.39,178.18,250.09,296.66,275.72,302.08,163.25,254.48,171.81
2002-05-01,226.32,192.43,226.01,193.37,335.77,307.19,318.47,305.47,319.94,247.56,261.78,267.67,231.17,277.07,224.98,206.98,198.52,237.35,175.7,337.54,286.36,523.52,284.65,278.9,195.48,235.41,223.67,216.22,220.09,327.19,351.33,215.35,415.35,256.34,174.99,238.29,160.0,274.09,269.85,365.82,256.64,219.75,230.39,178.18,250.09,296.66,275.72,302.08,163.25,254.48,171.81
2002-06-01,226.32,192.43,226.01,193.37,335.77,307.19,318.47,305.47,319.94,247.56,261.78,267.67,231.17,277.07,224.98,206.98,198.52,237.35,175.7,337.54,286.36,523.52,284.65,278.9,195.48,235.41,223.67,216.22,220.09,327.19,351.33,215.35,415.35,256.34,174.99,238.29,160.0,274.09,269.85,365.82,256.64,219.75,230.39,178.18,250.09,296.66,275.72,302.08,163.25,254.48,171.81
