date,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2000-01-01,1495.81993793406,178.629494248621,4937.26759485648,725.724913025058,11950.6377702334,4641.4008425939,961.167113772819,394.992958352357,2.0,11628.8027991533,7939.65820232095,308.247222871374,847.95933268342,4450.36313017436,3229.97429303888,1053.08493717439,1510.59610337743,1717.09966345686,1282.21167869986,538.608016059809,2309.60132648197,1417.29521999697,4506.03921175718,2761.4466702455,828.571726518645,2189.78425208425,117.903918883921,496.09101545582,2567.45906693257,471.957144743753,3775.29701190336,805.356912385113,3232.62494468202,5756.94150327474,326.924531830014,3940.98147755386,811.681262868136,1472.26729771951,3633.0680697851,305.209049923247,3544.48521946211,386.61133491363,3219.39380676148,10623.7632649571,1403.10420325154,170.587143469129,4264.3951616335,3664.84438534897,288.154810911841,2888.29255285055,157.884243793556
2000-02-01,1523.06158051701,136.395736497577,5608.72111058641,1310.56539420588,11930.953411819,4548.89796855098,825.316637175654,446.834368001311,9.0,12199.010860877,8061.6680536466,228.588497430267,879.650833555542,4741.88679159379,3043.63259565323,1074.7137729773,1515.84721881044,1796.56111765366,1373.87562471722,426.686841862108,2275.84108280782,1291.30098643057,4484.84796470937,3290.98590019289,1195.91391555846,2123.7664555242,213.949334792068,1423.78951033298,2520.4563337691,454.01246146405,2390.37632728469,867.110006563605,3687.77914272865,6972.4119819082,201.848630797948,4435.66246216527,1419.25497796098,1707.61477979467,3303.67529533284,237.991611702518,2707.49315407765,517.825046500712,3127.9427433656,11600.3203535602,1529.88949797742,195.388834189235,4461.30347775552,3892.50109582414,337.173272353527,2899.28399833722,129.635338810545
2000-03-01,1575.74251483394,175.387723451211,5938.57987886027,737.597539008228,12068.848000709,4346.58481443873,893.811432299957,405.633724396856,39.0,11964.6490611478,7978.42485477234,397.627629465597,893.239564597973,4484.84107726526,3644.6359883963,1303.06704425722,968.878919629937,1629.29722716781,1314.77667688724,543.684648529015,2505.45459606063,1924.11090098756,5232.53816635023,3251.86867675669,772.917820106698,2134.05893942401,278.114862059263,914.617004690694,2289.80095890129,535.463475190383,2539.20979890451,781.505824585691,3574.62454460574,7018.54074327375,270.901426837376,4713.61036406745,769.207676292322,1757.65587587146,3707.0749258904,243.797511147594,2868.39288101569,547.103228017519,3258.22912964773,11327.8865932212,1418.96696933899,194.147975999439,4287.43466164179,3240.56911785603,299.507081430867,3572.14357332553,175.798496663427
2000-04-01,1552.77576364649,162.123346128961,4948.2652859857,640.56600481988,10757.4135845411,3816.55291080804,712.823383211269,266.713752784579,91.0,11212.6969474476,7656.88562980038,348.276719667988,813.664352734598,4508.58999330607,3068.59360374139,1029.74679192464,1178.62219479713,1438.21059590534,952.308186473557,486.465972737165,2205.88014808885,1521.54663857523,4164.09815374303,2969.66086209625,883.870716099961,1996.89453593676,170.076385788586,585.297542659923,2721.36621668626,445.165446931537,2405.54173016002,698.873190553391,4435.9620617451,5676.47917320441,206.694614896688,4155.99822205707,1153.25387058034,1658.9642553954,2694.5191152224,242.206143640868,2465.27159808927,276.520678574232,2610.25980304987,10122.8568174597,1397.85499971111,176.909874825937,3626.79415310098,3116.95335499289,261.655563159236,2429.50402285307,142.078259432423
2000-05-01,1946.40017627044,181.355710260711,5387.31227810911,708.425469362449,11245.7308831853,3903.10567916689,763.773025742011,399.393964488313,109.0,12797.8763169117,7630.84524439729,382.953907200736,870.128017835139,4725.18387711004,3350.67014323649,971.214874399478,1060.13796018205,1418.32362457422,1147.37001823521,477.27943346638,2198.6109735376,1371.22222784932,4044.78868575004,2533.81315768203,990.989990065105,1969.32237090048,171.302981420956,727.034377133626,2295.61003675205,654.114847513476,2538.41925147547,764.842312711907,3461.78299086215,6169.0127814927,189.422240879541,4349.6675627182,854.446966863223,1578.19511331274,3567.6523798989,228.360422179836,2631.94310703015,354.473783734903,3129.4491324043,11278.3106078895,1458.82043778954,209.215514542676,3954.81813197139,3350.9538262812,276.401386019433,2661.4867061519,116.361928060977
2000-06-01,1464.03084725474,160.974972698608,4569.72731588732,797.714880732748,14511.7555039906,3174.92236989325,710.493521114714,526.142670035873,11.0,14289.6089336125,7799.79684960206,309.772631382802,956.995567432366,4046.78547601657,2954.70160787365,1355.61801095689,828.516452078144,1439.86681413413,979.919400428272,492.019254182774,2212.54129958528,1343.39081971906,4028.56378867965,2496.61404637489,888.378699336076,1920.52217635888,166.477393218135,991.929530513391,3059.05350090029,512.960188094047,2358.26899224756,771.26749940113,3675.42258341772,7374.75349792001,148.688744125827,3879.98813723515,913.733886723948,1721.89623927142,3365.74313647638,213.270872228215,2756.35519535943,365.072017738975,2402.03869136887,11854.9327656128,1330.1475505565,217.481187215934,3948.82573467461,3321.49207533325,294.895519968658,2701.66214743261,127.403897276723
2000-07-01,1182.72198072011,162.632198446342,4171.50586805618,663.642326477536,10825.4475989686,4612.41963327028,730.140028358814,286.974809201656,330.0,10746.9935745402,7427.01394734652,274.863267317637,816.727861890583,4337.19625399072,2761.05092755012,1179.95977026291,815.947699345676,1256.92811643101,1138.88696375687,431.886793996967,1878.12801494615,1565.16814371698,4494.01868596382,2343.96209128375,779.087433024711,1492.33383522252,163.695363673582,674.937879811211,2432.57809693452,493.008157017087,2158.45628422743,735.794173042343,3389.18305528031,5237.78254297193,159.581780775699,4231.39533592655,1381.84851062261,1354.42159784674,3037.35076075407,207.552538999844,2317.78885451672,320.54292289205,2924.79590569881,10384.3512648901,1301.87784712642,176.370519792789,4088.69840947308,3097.56748879053,279.410049710826,2405.55125874403,136.233032897351
2000-08-01,1522.22503584775,202.887284928181,5141.20943372876,772.828677633565,12131.157568578,5474.8385035382,733.291920381468,361.587398521988,14.0,11787.775036045,7248.13298847161,345.583731498383,943.716064318653,4195.8308610421,3860.17613044175,1062.54191732653,845.656490441271,1425.26537480745,1118.58621199339,599.534418562979,2423.22225632918,1333.2643491697,4291.19000716764,2794.12307636465,1013.76593862808,1785.59299908161,242.491958439062,631.302042850205,3195.75247460743,565.529227571277,2104.5690357601,720.189051180803,3475.15992310826,6322.22795253075,92.9334544341066,4280.00745715761,867.491325898429,1721.4472513669,3424.15601152168,179.863023885201,2525.46239829453,363.95370096188,2737.37452069423,10960.8971716639,1536.23674895545,193.343844812612,3886.67194264525,3960.94535146007,296.609674377737,2705.10921730704,136.318064304053
2000-09-01,1579.75962861498,188.737058421561,5045.58225603219,680.900139072238,11281.9172131698,3876.28298352889,763.549555846913,402.478077146527,6.0,13397.782962866,7785.63838496867,272.238440434983,899.701040626457,3986.66632531622,3459.05346848055,830.417143191996,863.709981058633,1463.95538514136,1255.3652591594,424.7123238743,2192.74463954247,1454.70622228848,4085.36929235878,2660.53271813701,1310.54702604029,1480.00629275032,185.067544693821,571.473182872223,2134.57625609933,591.655261491081,2341.54486746716,827.051279455776,4045.20940915994,5903.84407324137,171.792124334719,4114.55376085716,903.982884796787,1562.49092299347,3390.9258843453,195.78289366448,3081.15369023046,418.896722411307,2779.55619088154,11979.432135007,1232.63639233262,160.001039267163,3934.45647357692,3450.12500177377,260.218270940566,2537.80480192897,125.566401717403
2000-10-01,1525.04613553662,206.556568306446,4987.4159688637,989.50025541423,11609.207188354,4896.7844922312,748.452979546252,473.119302254015,86.0,11826.4949536795,7234.18778936689,347.018647042486,772.196953118391,4035.97350530092,2930.01504953182,822.258602667463,1459.64750354497,1356.20717298938,1120.10014796118,481.04044374705,2228.02863182328,1358.84545599044,4042.94029488979,2779.39480052541,886.189753222585,2437.07880306602,153.001796973379,869.796035288229,3090.91034016844,586.635965896995,2461.69186347454,635.286577136969,3660.30333492992,6316.78813953003,123.07704444422,4623.91204657959,692.293098195902,1417.25903454983,3288.35642565761,174.379506597638,2419.47880147875,348.166171125753,2964.2564282274,11678.2924062579,1360.03797901139,186.098899256664,3958.30413007556,3061.70329085414,306.158617694242,3148.94682665919,125.077078722692
