state,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,r_squared,n_obs,tier,significant
CT,-0.21578551758640563,0.01993867364899563,-10.822460981363994,2.694435644267233e-27,-0.25486459983793486,-0.17670643533487637,0.8132793108368161,37,Severe,True
RI,-0.17641325237013805,0.025287518412430893,-6.976297535127703,3.030605573190606e-12,-0.2259758777168961,-0.12685062702338,0.6432953041769485,37,Severe,True
MN,-0.17268626446809637,0.02504689261097242,-6.894518499769781,5.4047552280634074e-12,-0.2217772719102447,-0.12359525702594804,0.6740427985321307,37,Severe,True
MD,-0.16856294901844354,0.01738747565651884,-9.69450381115252,3.181804679630709e-22,-0.2026417750872874,-0.1344841229495997,0.6978719742913484,37,Severe,True
NJ,-0.1677314902027792,0.019898032350858002,-8.42955158807683,3.469922812421289e-17,-0.20673091697367374,-0.12873206343188465,0.7428933266423448,37,Severe,True
MA,-0.15835363329700053,0.01788091964812504,-8.856011682464286,8.292819352721302e-19,-0.19339959181778021,-0.12330767477622084,0.6836213781931139,37,Severe,True
NH,-0.15512907478392696,0.027153311157016028,-5.713081321349048,1.1094862595352221e-08,-0.208348586712688,-0.10190956285516592,0.5904398588190567,37,Severe,True
IL,-0.14947928591511223,0.017567525885674246,-8.5088410791532,1.756804321210172e-17,-0.18391100394850887,-0.11504756788171558,0.6546443458082325,37,Severe,True
ME,-0.14788942762410903,0.028672964219088257,-5.157800445538017,2.4986771112803264e-07,-0.20408740482352766,-0.09169145042469042,0.6147256674096468,37,Severe,True
VT,-0.14484528039027103,0.02565991858470271,-5.644806701632377,1.6536693771800347e-08,-0.19513779666251835,-0.09455276411802371,0.5879391521697885,37,Severe,True
NM,-0.13926048884202613,0.02090427626934855,-6.661818235067077,2.7046040128916093e-11,-0.1802321174528246,-0.09828886023122765,0.7174737732715708,37,Severe,True
VA,-0.13280134779268574,0.016207218213578352,-8.193963087473286,2.527626092603124e-16,-0.1645669117808809,-0.10103578380449058,0.6227417749489179,37,Severe,True
PA,-0.12408219133826481,0.017299573852564344,-7.172557682388916,7.360938351600992e-13,-0.15798873303718175,-0.09017564963934788,0.567192509574221,37,Severe,True
WY,-0.12333441587545046,0.024505121747462003,-5.033005636392082,4.828489240520662e-07,-0.17136357193724522,-0.07530525981365571,0.6380182003286368,37,Moderate-High,True
DE,-0.11734327828730931,0.015754795580185072,-7.4480990686348765,9.469470476672885e-14,-0.14822211020826287,-0.08646444636635575,0.6417828947773079,37,Moderate-High,True
WI,-0.11644716055937632,0.02629887912190441,-4.427837400202625,9.518261015016327e-06,-0.16799201647208134,-0.06490230464667131,0.47401636445893325,37,Moderate-High,True
MI,-0.11583884883181048,0.019684734599217827,-5.884704629769981,3.987654925637515e-09,-0.1544202196915069,-0.07725747797211405,0.6094786156237024,37,Moderate-High,True
WA,-0.1096529547839562,0.025363001407774758,-4.323343007438514,1.5368251084303017e-05,-0.15936352408303342,-0.059942385484878985,0.6376169397023597,37,Moderate-High,True
OH,-0.10642947196649194,0.01573579529853758,-6.763526720278514,1.3467252227546446e-11,-0.1372710640197203,-0.07558787991326357,0.5739272924076477,37,Moderate-High,True
